Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate,Bussiness__Name,Bussiness__StreetAddress,Bussiness__City,Bussiness__Country,Bussiness__Zipcode,Invoice__Number,Invoice__IssueDate,Bussiness__Description,Customer__Name,Customer__Email,Customer__PhoneNumber,Customer__Address__line1,Customer__Address__line2,Invoice__Description,Invoice__Due_Date,Invoice__Tax
Unbranded Wooden Salad ,115,91,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,SV97IOAR56444826338915679743,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Willis Koelpin ,Willis_Koelpin4@yahoo.com ,783-402-5895 ,353 Cara Shoals ,Suchitlán ,elit nostrud exercitation  ipsum sint ad eiusmod  ,24-06-2023,10
Incredible Concrete Ball ,84,16,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,SV97IOAR56444826338915679743,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Willis Koelpin ,Willis_Koelpin4@yahoo.com ,783-402-5895 ,353 Cara Shoals ,Suchitlán ,elit nostrud exercitation  ipsum sint ad eiusmod  ,24-06-2023,10
Awesome Steel Chair ,40,97,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,SV97IOAR56444826338915679743,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Willis Koelpin ,Willis_Koelpin4@yahoo.com ,783-402-5895 ,353 Cara Shoals ,Suchitlán ,elit nostrud exercitation  ipsum sint ad eiusmod  ,24-06-2023,10
Fantastic Granite Car ,75,51,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,SV97IOAR56444826338915679743,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Willis Koelpin ,Willis_Koelpin4@yahoo.com ,783-402-5895 ,353 Cara Shoals ,Suchitlán ,elit nostrud exercitation  ipsum sint ad eiusmod  ,24-06-2023,10
Unbranded Steel Chicken ,36,100,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,XK944058827865015529,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields ,Mwanza ,  duis enim est consectetur laboris id qui irure ipsum Lorem ex eu commodo  ,07-07-2023,10
Tasty Steel Towels ,55,79,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,XK944058827865015529,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields ,Mwanza ,  duis enim est consectetur laboris id qui irure ipsum Lorem ex eu commodo  ,07-07-2023,10
Intelligent Metal Shoes ,72,12,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,XK944058827865015529,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Terri Ernser ,Terri.Ernser@yahoo.com ,415-897-1517 ,231 Jayne Fields ,Mwanza ,  duis enim est consectetur laboris id qui irure ipsum Lorem ex eu commodo  ,07-07-2023,10
Unbranded Cotton Pants ,7,17,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,AL2991271759WVVHALZ3QB8SKQ77 Issue date 12-05-2023 ,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Don Zulauf ,Don_Zulauf40@hotmail.com ,110-825-4839 ,121 Jacobs River ,Port-Vila ,velit et ipsum  ,16-06-2023,10
Handmade Soft Towels ,51,48,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,AL2991271759WVVHALZ3QB8SKQ77 Issue date 12-05-2023 ,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Don Zulauf ,Don_Zulauf40@hotmail.com ,110-825-4839 ,121 Jacobs River ,Port-Vila ,velit et ipsum  ,16-06-2023,10
Ergonomic Rubber Chips ,40,69,NearBy Electronics ,3741 Glory Road,Jamestown,"Tennessee, USA ",38556,AL2991271759WVVHALZ3QB8SKQ77 Issue date 12-05-2023 ,12-05-2023,We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,Don Zulauf ,Don_Zulauf40@hotmail.com ,110-825-4839 ,121 Jacobs River ,Port-Vila ,velit et ipsum  ,16-06-2023,10
